Policy,Hit Rate,Hits,Misses,Requests,Evictions,Admit rate,Adaption,Steps,Time,Batch Hits
adaptive.Arc,49.40,7834,8024,15858,7512,,-13.00,15858,46,[4294 3540]
adaptive.Car,49.40,7834,8024,15858,7512,,,23655,25,[4294 3540]
adaptive.Cart,48.58,7704,8154,15858,7642,,,17318,48,[4247 3457]
greedy-dual.Camp,46.66,7400,8458,15858,7946,,,,39,[4120 3280]
greedy-dual.GDWheel,46.66,7400,8458,15858,7946,,,15858,48,[4120 3280]
greedy-dual.Gdsf,48.60,7707,8151,15858,7639,100.00,,,164,[4245 3462]
irr.ClockPro,55.17,8749,7109,15858,6597,,,15858,54,[4991 3758]
irr.ClockProPlus,55.22,8756,7102,15858,6590,,,15858,59,[5027 3729]
irr.ClockProSimple,49.43,7838,8020,15858,8020,,,30278,32,[4292 3546]
irr.DClock (active: 50%),49.15,7794,8064,15858,7552,,,15858,30,[4292 3502]
irr.DClock (active: 99%),49.40,7834,8024,15858,7512,,,15858,21,[4294 3540]
irr.Frd,55.33,8774,7084,15858,6572,,,20400,39,[5097 3677]
irr.Lirs,56.25,8920,6938,15858,6426,,,20830,72,[5150 3770]
linked.Clock,47.23,7489,8369,15858,7857,,,24946,20,[4163 3326]
linked.Clock_TinyLfu,54.29,8609,7249,15858,6737,5.45,,25968,37,[4923 3686]
linked.Fifo,41.05,6509,9349,15858,8837,,,22367,20,[3482 3027]
linked.Fifo_TinyLfu,50.21,7962,7896,15858,7384,0.50,,23820,36,[4616 3346]
linked.Lfu,49.30,7818,8040,15858,7528,,,15858,40,[4288 3530]
linked.Lfu_TinyLfu,53.13,8425,7433,15858,6921,7.67,,15858,38,[4769 3656]
linked.Lru,46.66,7400,8458,15858,7946,,,23258,39,[4120 3280]
linked.Lru_TinyLfu,54.88,8703,7155,15858,6643,4.28,,24561,30,[5081 3622]
linked.Mfu,26.06,4132,11726,15858,11214,,,15858,11,[2305 1827]
linked.Mfu_TinyLfu,46.23,7331,8527,15858,8015,0.56,,15858,11,[4494 2837]
linked.Mru,23.34,3702,12156,15858,11644,,,19560,36,[2520 1182]
linked.Mru_TinyLfu,53.45,8476,7382,15858,6870,1.27,,24334,49,[4871 3605]
linked.MultiQueue,47.28,7497,8361,15858,7849,,,15858,77,[4158 3339]
linked.S4Lru,49.30,7818,8040,15858,7528,,,15858,33,[4288 3530]
linked.S4Lru_TinyLfu,52.72,8360,7498,15858,6986,10.15,,15858,30,[4698 3662]
linked.SegmentedLru,49.30,7818,8040,15858,7528,,,15858,22,[4288 3530]
linked.SegmentedLru_TinyLfu,53.10,8421,7437,15858,6925,8.84,,15858,17,[4774 3647]
opt.Clairvoyant,59.09,9371,6487,15858,5975,,,,91,[5492 3879]
opt.Unbounded,83.57,13252,2606,15858,0,,,15858,11,[7897 5355]
product.Cache2k,53.35,8460,7398,15858,6886,,,,389,[4681 3779]
product.Caffeine,55.62,8821,7037,15858,6525,,,,664,[5140 3681]
product.Ehcache3,45.83,7267,8591,15858,8079,,,,315,[4029 3238]
product.ElasticSearch,46.66,7400,8458,15858,7946,,,,297,[4120 3280]
product.ExpiringMap,46.66,7400,8458,15858,7946,,,,139,[4120 3280]
product.Guava,46.61,7391,8467,15858,7955,,,,415,[4119 3272]
product.OHC (Lru),46.46,7368,8490,15858,7978,,,,353,[4095 3273]
product.OHC (W-TinyLfu),53.02,8408,7450,15858,6954,,,,82,[4766 3642]
product.TCache,52.89,8388,7470,15858,7009,,,,268,[4726 3662]
sampled.sampled.Fifo,41.01,6503,9355,15858,8843,,,86602,23,[3480 3023]
sampled.sampled.Fifo_TinyLfu,54.14,8586,7272,15858,6760,7.40,,69938,18,[4863 3723]
sampled.sampled.Hyperbolic,49.62,7868,7990,15858,7478,,,75682,70,[4311 3557]
sampled.sampled.Hyperbolic_TinyLfu,54.04,8570,7288,15858,6776,11.98,,70066,68,[4860 3710]
sampled.sampled.Lfu,49.54,7856,8002,15858,7490,,,75778,45,[4309 3547]
sampled.sampled.Lfu_TinyLfu,54.19,8593,7265,15858,6753,10.17,,69882,82,[4864 3729]
sampled.sampled.Lru,46.53,7379,8479,15858,7967,,,79594,28,[4108 3271]
sampled.sampled.Lru_TinyLfu,51.63,8188,7670,15858,7158,17.18,,73122,151,[4625 3563]
sampled.sampled.Mfu,31.98,5072,10786,15858,10274,,,98050,25,[2610 2462]
sampled.sampled.Mfu_TinyLfu,53.58,8496,7362,15858,6850,5.08,,70658,43,[4885 3611]
sampled.sampled.Mru,34.99,5548,10310,15858,9798,,,94242,43,[3119 2429]
sampled.sampled.Mru_TinyLfu,53.90,8547,7311,15858,6799,4.29,,70250,89,[4915 3632]
sampled.sampled.Random,42.09,6675,9183,15858,8671,,,15858,17,[3610 3065]
